Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-05-07,5288500,Brooklyn_Park,Sentinel-2,0.0456,0.0732,0.0747,0.2488,0.2113,0.1366,0.1309,0.2088,0.2184,brooklynpark
2019-05-12,5331000,St_Paul,Landsat-8,0.059105,0.091885,0.0936724999999999,0.218715,0.1743575,0.1234549999999999,,,,stpaul
2019-05-12,5288500,Brooklyn_Park,Landsat-8,0.0541274999999999,0.0837724999999999,0.0752475,0.301985,0.2200349999999999,0.1300549999999999,,,,brooklynpark
2019-05-12,5344500,Prescott,Landsat-8,0.0879524999999999,0.1325575,0.1483425,0.240715,0.25232,0.2038924999999999,,,,prescott
2019-05-12,5288500,Brooklyn_Park,Sentinel-2,0.0746,0.0998,0.0844,0.3572,0.2239,0.1332,0.152,0.2911,0.3239,brooklynpark
2019-05-12,5344500,Prescott,Sentinel-2,0.1422,0.1608,0.1664,0.2272,0.2607,0.2307,0.208,0.2389,0.2753,prescott
2019-05-12,5331000,St_Paul,Sentinel-2,0.0858,0.1056,0.108,0.2868,0.2219,0.1761,0.1597,0.2378,0.2867,stpaul
2019-05-12,5288500,Brooklyn_Park,Sentinel-2,0.0724,0.0987,0.0834,0.3596,0.2239,0.1328,0.1521,0.2928,0.3258,brooklynpark
2019-05-14,5378500,Winona,Landsat-8,0.0473349999999999,0.0828375,0.0792625,0.2314475,0.2206125,0.1718825,,,,winona
2019-05-14,5378500,Winona,Landsat-8,0.0468125,0.07423,0.0709024999999999,0.23318,0.2188525,0.1671524999999999,,,,winona
2019-05-15,5331000,St_Paul,Sentinel-2,0.0808,0.0912,0.1068,0.1932,0.1735,0.1372,0.1446,0.1718,0.1941,stpaul
2019-05-20,5288500,Brooklyn_Park,Sentinel-2,0.0172,0.0437,0.0219,0.2712,0.1406,0.0736,0.0924,0.2498,0.2758,brooklynpark
2019-05-20,5331580,Hastings,Sentinel-2,0.0336,0.061,0.0347,0.1952,0.1551,0.0901,0.108,0.207,0.2474,hastings
2019-05-20,5344500,Prescott,Sentinel-2,0.0602,0.106,0.0988,0.2754,0.2099,0.1565,0.1502,0.2324,0.2579,prescott
2019-05-20,5331000,St_Paul,Sentinel-2,0.101,0.1128,0.1046,0.1805,0.1805,0.1347,0.1478,0.1912,0.2007,stpaul
2019-05-20,5288500,Brooklyn_Park,Sentinel-2,0.0204,0.0456,0.0235,0.2698,0.1404,0.0735,0.0931,0.2486,0.2746,brooklynpark
2019-05-22,5378500,Winona,Sentinel-2,0.0464,0.0392,0.032,0.0951,0.065,0.0441,0.0433,0.081,0.0976,winona
2019-05-25,5331580,Hastings,Sentinel-2,0.0344,0.0516,0.0323,0.2194,0.1549,0.0956,0.1075,0.231,0.2946,hastings
2019-05-25,5344500,Prescott,Sentinel-2,0.1064,0.1488,0.1368,0.2866,0.2411,0.1971,0.1646,0.2537,0.2682,prescott
2019-05-28,5331000,St_Paul,Landsat-8,0.0245924999999999,0.06169,0.0582524999999999,0.1810125,0.119275,0.0797574999999999,,,,stpaul
2019-05-28,5288500,Brooklyn_Park,Landsat-8,0.0187074999999999,0.05696,0.03947,0.3023425,0.15145,0.085505,,,,brooklynpark
2019-05-30,5378500,Winona,Landsat-8,0.04871,0.08842,0.0741749999999999,0.256445,0.192755,0.14738,,,,winona
2019-05-30,5378500,Winona,Landsat-8,0.0532199999999999,0.0926274999999999,0.07984,0.2569675,0.1936075,0.1478475,,,,winona
2019-05-30,5288500,Brooklyn_Park,Sentinel-2,0.2062,0.1974,0.1584,0.3437,0.192,0.1073,0.206,0.3279,0.3652,brooklynpark
2019-05-30,5331580,Hastings,Sentinel-2,0.1254,0.1318,0.1054,0.306,0.1792,0.0881,0.1551,0.2931,0.3536,hastings
2019-05-30,5344500,Prescott,Sentinel-2,0.1282,0.1492,0.1354,0.3264,0.2527,0.1822,0.1845,0.2713,0.3049,prescott
2019-05-30,5331000,St_Paul,Sentinel-2,0.1262,0.124,0.1224,0.2376,0.2022,0.1425,0.1614,0.2417,0.2647,stpaul
2019-05-30,5288500,Brooklyn_Park,Sentinel-2,0.1458,0.1652,0.136,0.3641,0.195,0.1058,0.1975,0.3447,0.3882,brooklynpark
2019-06-01,5288500,Brooklyn_Park,Sentinel-2,0.0354,0.0538,0.0334,0.3308,0.1573,0.0783,0.0925,0.297,0.3629,brooklynpark
2019-06-01,5331580,Hastings,Sentinel-2,0.1218,0.1268,0.1015,0.3396,0.1993,0.1141,0.1475,0.2774,0.3454,hastings
2019-06-01,5344500,Prescott,Sentinel-2,0.1384,0.1472,0.134,0.3196,0.2519,0.1955,0.1728,0.2689,0.3163,prescott
2019-06-01,5331000,St_Paul,Sentinel-2,0.1124,0.1262,0.1272,0.2484,0.2087,0.1572,0.1578,0.2392,0.2419,stpaul
2019-06-01,5288500,Brooklyn_Park,Sentinel-2,0.0168,0.04,0.021,0.34,0.1582,0.0775,0.0856,0.3076,0.378,brooklynpark
2019-06-04,5288500,Brooklyn_Park,Sentinel-2,0.0243,0.0443,0.0252,0.2878,0.1392,0.0689,0.0763,0.2544,0.3151,brooklynpark
2019-06-04,5331580,Hastings,Sentinel-2,0.0382,0.0468,0.0324,0.2476,0.1523,0.0872,0.0858,0.2656,0.3322,hastings
2019-06-04,5344500,Prescott,Sentinel-2,0.0925,0.1114,0.1136,0.2644,0.2512,0.2115,0.1457,0.2391,0.2612,prescott
2019-06-04,5331000,St_Paul,Sentinel-2,0.0894,0.1048,0.1005,0.202,0.1883,0.1442,0.1479,0.1959,0.2445,stpaul
2019-06-04,5288500,Brooklyn_Park,Sentinel-2,0.0231,0.0436,0.0239,0.2884,0.139,0.0682,0.0752,0.2558,0.3171,brooklynpark
2019-06-06,5331580,Hastings,Landsat-8,0.0207699999999999,0.0525875,0.0355925,0.3594875,0.1646225,0.0837175,,,,hastings
2019-06-06,5331000,St_Paul,Landsat-8,0.0722225,0.0909225,0.097495,0.2682425,0.18214,0.1217225,,,,stpaul
2019-06-06,5344500,Prescott,Landsat-8,0.0622949999999999,0.12406,0.1460325,0.2643925,0.2538325,0.1942125,,,,prescott
2019-06-06,5378500,Winona,Landsat-8,0.0385625,0.076375,0.0786574999999999,0.236425,0.1875575,0.1398174999999999,,,,winona
2019-06-06,5288500,Brooklyn_Park,Sentinel-2,0.025,0.0498,0.0249,0.32,0.1594,0.0759,0.0852,0.2899,0.3698,brooklynpark
2019-06-06,5331580,Hastings,Sentinel-2,0.0375,0.0569,0.0394,0.2769,0.1814,0.1041,0.1096,0.2926,0.3596,hastings
2019-06-06,5344500,Prescott,Sentinel-2,0.086,0.1136,0.1186,0.2829,0.2553,0.1956,0.1717,0.2588,0.289,prescott
2019-06-06,5331000,St_Paul,Sentinel-2,0.0955,0.1128,0.1326,0.2378,0.2153,0.1559,0.1773,0.2396,0.2517,stpaul
2019-06-06,5288500,Brooklyn_Park,Sentinel-2,0.0226,0.0481,0.0232,0.3224,0.1602,0.076,0.0842,0.2932,0.3748,brooklynpark
2019-06-06,5378500,Winona,Sentinel-2,0.0512,0.0654,0.064,0.2591,0.1895,0.1343,0.0961,0.2086,0.2514,winona
2019-06-06,5378500,Winona,Sentinel-2,0.049,0.0642,0.0636,0.2589,0.19,0.1344,0.0956,0.2085,0.2513,winona
2019-06-13,5331580,Hastings,Landsat-8,0.0280574999999999,0.0467575,0.0350975,0.3265975,0.1415225,0.0729374999999999,,,,hastings
2019-06-13,5331000,St_Paul,Landsat-8,0.0546499999999999,0.0838825,0.0809949999999999,0.2597725,0.170645,0.1154525,,,,stpaul
2019-06-13,5288500,Brooklyn_Park,Landsat-8,0.0293775,0.0574,0.0476099999999999,0.317385,0.1553,0.0848999999999999,,,,brooklynpark
