date,water_temp_f,water_temp_c
2022-10-01,62.0,16.666666666666668
2022-10-02,62.0,16.666666666666668
2022-10-03,63.0,17.22222222222222
2022-10-04,64.0,17.77777777777778
2022-10-05,64.0,17.77777777777778
2022-10-06,65.0,18.333333333333332
2022-10-07,62.0,16.666666666666668
2022-10-08,59.0,15.0
2022-10-09,59.0,15.0
2022-10-10,59.0,15.0
2022-10-11,60.0,15.555555555555555
2022-10-12,61.0,16.11111111111111
2022-10-13,58.0,14.444444444444445
2022-10-14,55.0,12.777777777777779
2022-10-15,51.0,10.555555555555555
2022-10-16,52.0,11.11111111111111
2022-10-17,49.0,9.444444444444445
2022-10-18,47.0,8.333333333333334
2022-10-19,47.0,8.333333333333334
2022-10-20,47.0,8.333333333333334
2022-10-21,48.0,8.88888888888889
2022-10-22,50.0,10.0
2022-10-28,51.0,10.555555555555555
2022-10-29,52.0,11.11111111111111
2022-10-30,53.0,11.666666666666666
2022-10-31,53.0,11.666666666666666
2022-11-01,54.0,12.222222222222221
2022-11-02,53.0,11.666666666666666
2022-11-03,54.0,12.222222222222221
2022-11-04,54.0,12.222222222222221
2022-11-05,52.0,11.11111111111111
2022-11-06,51.0,10.555555555555555
2022-11-07,47.0,8.333333333333334
2022-11-08,46.0,7.777777777777778
2022-11-09,47.0,8.333333333333334
2022-11-10,50.0,10.0
2022-11-11,49.0,9.444444444444445
2022-11-12,44.0,6.666666666666667
2022-11-13,42.0,5.555555555555555
2022-11-14,42.0,5.555555555555555
2022-11-15,41.0,5.0
2022-11-16,41.0,5.0
2022-11-17,39.0,3.888888888888889
2022-11-18,37.0,2.7777777777777777
2022-11-19,35.0,1.6666666666666667
2022-11-20,33.0,0.5555555555555556
2022-11-21,35.0,1.6666666666666667
2022-11-23,36.0,2.2222222222222223
2022-11-24,36.0,2.2222222222222223
2022-11-25,35.0,1.6666666666666667
2022-11-26,36.0,2.2222222222222223
2022-11-27,36.0,2.2222222222222223
2022-11-28,37.0,2.7777777777777777
2022-11-29,37.0,2.7777777777777777
2022-11-30,35.0,1.6666666666666667
2022-12-01,33.0,0.5555555555555556
2022-12-02,34.0,1.1111111111111112
2022-12-03,34.0,1.1111111111111112
2022-12-07,28.0,-2.2222222222222223
2022-12-09,33.0,0.5555555555555556
2022-12-10,34.0,1.1111111111111112
2022-12-11,34.0,1.1111111111111112
2022-12-15,35.0,1.6666666666666667
2022-12-16,34.0,1.1111111111111112
2022-12-17,34.0,1.1111111111111112
2023-01-19,34.0,1.1111111111111112
2023-01-20,34.0,1.1111111111111112
2023-01-21,34.0,1.1111111111111112
2023-01-22,35.0,1.6666666666666667
2023-01-23,35.0,1.6666666666666667
2023-01-24,35.0,1.6666666666666667
2023-01-25,35.0,1.6666666666666667
2023-01-26,35.0,1.6666666666666667
2023-01-27,34.0,1.1111111111111112
2023-01-28,34.0,1.1111111111111112
2023-01-31,33.0,0.5555555555555556
2023-02-01,27.0,-2.7777777777777777
2023-02-02,33.0,0.5555555555555556
2023-02-03,33.0,0.5555555555555556
2023-02-04,33.0,0.5555555555555556
2023-02-05,33.0,0.5555555555555556
2023-02-06,33.0,0.5555555555555556
2023-02-07,33.0,0.5555555555555556
2023-02-08,34.0,1.1111111111111112
2023-02-09,33.0,0.5555555555555556
2023-02-17,34.0,1.1111111111111112
2023-02-18,34.0,1.1111111111111112
2023-02-20,35.0,1.6666666666666667
2023-02-21,34.0,1.1111111111111112
2023-02-22,33.0,0.5555555555555556
2023-02-23,33.0,0.5555555555555556
2023-02-24,33.0,0.5555555555555556
